Category: All categories

Day,virus: (Canada)
2020-04-01,100
2020-04-02,92
2020-04-03,86
2020-04-04,97
2020-04-05,91
2020-04-06,80
2020-04-07,75
2020-04-08,64
2020-04-09,62
2020-04-10,65
2020-04-11,63
2020-04-12,58
2020-04-13,56
2020-04-14,49
2020-04-15,47
2020-04-16,46
2020-04-17,47
2020-04-18,44
2020-04-19,42
2020-04-20,38
2020-04-21,36
2020-04-22,37
2020-04-23,35
2020-04-24,35
2020-04-25,35
2020-04-26,34
2020-04-27,33
2020-04-28,29
2020-04-29,32
2020-04-30,31
2020-05-01,28
2020-05-02,28
2020-05-03,32
2020-05-04,26
2020-05-05,27
2020-05-06,26
2020-05-07,24
2020-05-08,26
2020-05-09,25
2020-05-10,26
2020-05-11,24
2020-05-12,23
2020-05-13,22
2020-05-14,23
2020-05-15,22
2020-05-16,23
2020-05-17,20
2020-05-18,22
2020-05-19,20
2020-05-20,19
2020-05-21,21
2020-05-22,20
2020-05-23,20
2020-05-24,21
2020-05-25,18
2020-05-26,17
2020-05-27,15
2020-05-28,17
2020-05-29,14
2020-05-30,15
2020-05-31,18
2020-06-01,16
2020-06-02,15
2020-06-03,14
2020-06-04,14
2020-06-05,14
2020-06-06,14
2020-06-07,16
2020-06-08,15
2020-06-09,13
2020-06-10,12
2020-06-11,15
2020-06-12,13
2020-06-13,16
2020-06-14,12
2020-06-15,15
2020-06-16,14
2020-06-17,14
2020-06-18,11
2020-06-19,14
2020-06-20,14
2020-06-21,13
2020-06-22,13
2020-06-23,13
2020-06-24,12
2020-06-25,13
2020-06-26,13
2020-06-27,12
2020-06-28,13
2020-06-29,13
2020-06-30,23
2020-07-01,14
2020-07-02,14
2020-07-03,14
2020-07-04,15
2020-07-05,14
2020-07-06,16
2020-07-07,14
2020-07-08,12
2020-07-09,12
2020-07-10,11
2020-07-11,12
2020-07-12,13
2020-07-13,14
2020-07-14,13
2020-07-15,14
2020-07-16,13
2020-07-17,13
2020-07-18,12
2020-07-19,15
2020-07-20,13
2020-07-21,12
2020-07-22,12
2020-07-23,12
2020-07-24,11
2020-07-25,10
2020-07-26,10
2020-07-27,14
2020-07-28,13
2020-07-29,13
2020-07-30,12
2020-07-31,10
2020-08-01,11
2020-08-02,11
2020-08-03,9
2020-08-04,9
2020-08-05,9
2020-08-06,11
2020-08-07,11
2020-08-08,12
2020-08-09,10
2020-08-10,10
2020-08-11,13
2020-08-12,11
2020-08-13,11
2020-08-14,11
2020-08-15,11
2020-08-16,10
2020-08-17,9
2020-08-18,9
2020-08-19,9
2020-08-20,9
2020-08-21,8
2020-08-22,9
2020-08-23,8
2020-08-24,8
2020-08-25,11
2020-08-26,9
2020-08-27,8
2020-08-28,7
2020-08-29,8
2020-08-30,7
2020-08-31,8
2020-09-01,9
2020-09-02,7
2020-09-03,9
2020-09-04,8
2020-09-05,7
2020-09-06,8
2020-09-07,8
2020-09-08,8
2020-09-09,8
2020-09-10,8
2020-09-11,9
2020-09-12,8
2020-09-13,9
2020-09-14,9
2020-09-15,8
2020-09-16,10
2020-09-17,9
2020-09-18,9
2020-09-19,9
2020-09-20,10
2020-09-21,10
2020-09-22,10
2020-09-23,9
2020-09-24,8
2020-09-25,11
2020-09-26,10
2020-09-27,9
2020-09-28,11
2020-09-29,10
2020-09-30,10
2020-10-01,9
2020-10-02,14
2020-10-03,11
2020-10-04,10
2020-10-05,11
2020-10-06,11
2020-10-07,9
2020-10-08,8
2020-10-09,8
2020-10-10,10
2020-10-11,10
2020-10-12,8
2020-10-13,10
2020-10-14,9
2020-10-15,8
2020-10-16,8
2020-10-17,9
2020-10-18,10
2020-10-19,8
2020-10-20,9
2020-10-21,9
2020-10-22,10
2020-10-23,8
2020-10-24,9
2020-10-25,8
2020-10-26,9
2020-10-27,9
2020-10-28,8
2020-10-29,9
2020-10-30,9
2020-10-31,8
2020-11-01,10
2020-11-02,6
2020-11-03,7
2020-11-04,6
2020-11-05,6
2020-11-06,6
2020-11-07,7
2020-11-08,8
2020-11-09,9
2020-11-10,7
2020-11-11,9
2020-11-12,9
2020-11-13,9
2020-11-14,11
2020-11-15,9
2020-11-16,10
2020-11-17,9
2020-11-18,10
2020-11-19,8
2020-11-20,8
2020-11-21,10
2020-11-22,9
2020-11-23,8
2020-11-24,10
2020-11-25,9
2020-11-26,8
2020-11-27,8
2020-11-28,7
2020-11-29,8
2020-11-30,7
