Category: All categories

Day,covid: (Canada)
2020-04-01,100
2020-04-02,94
2020-04-03,95
2020-04-04,94
2020-04-05,93
2020-04-06,92
2020-04-07,86
2020-04-08,83
2020-04-09,78
2020-04-10,74
2020-04-11,72
2020-04-12,66
2020-04-13,75
2020-04-14,70
2020-04-15,69
2020-04-16,68
2020-04-17,69
2020-04-18,67
2020-04-19,62
2020-04-20,62
2020-04-21,60
2020-04-22,63
2020-04-23,64
2020-04-24,60
2020-04-25,57
2020-04-26,56
2020-04-27,62
2020-04-28,60
2020-04-29,58
2020-04-30,56
2020-05-01,55
2020-05-02,52
2020-05-03,53
2020-05-04,55
2020-05-05,52
2020-05-06,53
2020-05-07,52
2020-05-08,50
2020-05-09,47
2020-05-10,46
2020-05-11,52
2020-05-12,52
2020-05-13,54
2020-05-14,53
2020-05-15,47
2020-05-16,46
2020-05-17,43
2020-05-18,42
2020-05-19,46
2020-05-20,46
2020-05-21,46
2020-05-22,46
2020-05-23,45
2020-05-24,45
2020-05-25,49
2020-05-26,47
2020-05-27,47
2020-05-28,44
2020-05-29,43
2020-05-30,39
2020-05-31,40
2020-06-01,42
2020-06-02,39
2020-06-03,39
2020-06-04,39
2020-06-05,37
2020-06-06,34
2020-06-07,38
2020-06-08,46
2020-06-09,41
2020-06-10,40
2020-06-11,38
2020-06-12,38
2020-06-13,36
2020-06-14,35
2020-06-15,40
2020-06-16,39
2020-06-17,39
2020-06-18,38
2020-06-19,38
2020-06-20,37
2020-06-21,35
2020-06-22,41
2020-06-23,38
2020-06-24,39
2020-06-25,40
2020-06-26,42
2020-06-27,43
2020-06-28,40
2020-06-29,42
2020-06-30,41
2020-07-01,39
2020-07-02,41
2020-07-03,41
2020-07-04,40
2020-07-05,39
2020-07-06,46
2020-07-07,43
2020-07-08,41
2020-07-09,39
2020-07-10,37
2020-07-11,34
2020-07-12,39
2020-07-13,47
2020-07-14,48
2020-07-15,44
2020-07-16,43
2020-07-17,45
2020-07-18,41
2020-07-19,41
2020-07-20,47
2020-07-21,50
2020-07-22,48
2020-07-23,45
2020-07-24,44
2020-07-25,41
2020-07-26,41
2020-07-27,45
2020-07-28,45
2020-07-29,45
2020-07-30,45
2020-07-31,44
2020-08-01,40
2020-08-02,38
2020-08-03,41
2020-08-04,44
2020-08-05,40
2020-08-06,38
2020-08-07,37
2020-08-08,34
2020-08-09,34
2020-08-10,41
2020-08-11,41
2020-08-12,39
2020-08-13,41
2020-08-14,40
2020-08-15,37
2020-08-16,34
2020-08-17,39
2020-08-18,39
2020-08-19,38
2020-08-20,36
2020-08-21,35
2020-08-22,34
2020-08-23,33
2020-08-24,36
2020-08-25,36
2020-08-26,34
2020-08-27,32
2020-08-28,34
2020-08-29,31
2020-08-30,29
2020-08-31,39
2020-09-01,38
2020-09-02,37
2020-09-03,37
2020-09-04,35
2020-09-05,33
2020-09-06,31
2020-09-07,35
2020-09-08,44
2020-09-09,47
2020-09-10,42
2020-09-11,40
2020-09-12,36
2020-09-13,36
2020-09-14,49
2020-09-15,52
2020-09-16,51
2020-09-17,55
2020-09-18,53
2020-09-19,49
2020-09-20,53
2020-09-21,64
2020-09-22,63
2020-09-23,61
2020-09-24,56
2020-09-25,59
2020-09-26,51
2020-09-27,51
2020-09-28,89
2020-09-29,77
2020-09-30,61
2020-10-01,61
2020-10-02,82
2020-10-03,64
2020-10-04,57
2020-10-05,72
2020-10-06,67
2020-10-07,60
2020-10-08,58
2020-10-09,68
2020-10-10,56
2020-10-11,50
2020-10-12,51
2020-10-13,62
2020-10-14,56
2020-10-15,53
2020-10-16,53
2020-10-17,43
2020-10-18,42
2020-10-19,50
2020-10-20,51
2020-10-21,48
2020-10-22,50
2020-10-23,47
2020-10-24,42
2020-10-25,45
2020-10-26,54
2020-10-27,53
2020-10-28,53
2020-10-29,49
2020-10-30,53
2020-10-31,47
2020-11-01,44
2020-11-02,52
2020-11-03,53
2020-11-04,36
2020-11-05,40
2020-11-06,44
2020-11-07,46
2020-11-08,49
2020-11-09,61
2020-11-10,64
2020-11-11,59
2020-11-12,67
2020-11-13,77
2020-11-14,64
2020-11-15,59
2020-11-16,69
2020-11-17,71
2020-11-18,68
2020-11-19,72
2020-11-20,90
2020-11-21,74
2020-11-22,65
2020-11-23,81
2020-11-24,89
2020-11-25,91
2020-11-26,69
2020-11-27,62
2020-11-28,58
2020-11-29,56
2020-11-30,63
